Geo Point,Geo Shape,lib_voie,motdir,commune,insee,nb_places,annee_creation,coord_x,coord_y,no,date_verif
"43.61007392574477,1.3975712629228831","{coordinates: [[1.397571262922883, 43.61007392574477]], type: MultiPoint}",AV DES ARENES ROMAINES,ROMAINES (AV DES ARENES ROMAINES),TOULOUSE,31555,2,2019,1.397571,43.610074,105,
"43.60863178850158,1.4297395606023389","{coordinates: [[1.429739560602339, 43.60863178850158]], type: MultiPoint}",BD LASCROSSES,LASCROSSES (BD LASCROSSES),TOULOUSE,31555,2,2016,1.42974,43.608632,67,
"43.61409741471883,1.4312826747173546","{coordinates: [[1.431282674717355, 43.61409741471883]], type: MultiPoint}",AV EMILE DEWOITINE,DEWOITINE  (AV EMILE DEWOITINE),TOULOUSE,31555,2,2013,1.431283,43.614097,13,
"43.56534141302596,1.459332863663495","{coordinates: [[1.459332863663495, 43.56534141302596]], type: MultiPoint}",RTE DE NARBONNE,NARBONNE (RTE DE NARBONNE),TOULOUSE,31555,2,2019,1.459333,43.565341,96,
"43.65337558854608,1.4403180076577764","{coordinates: [[1.440318007657776, 43.65337558854608]], type: MultiPoint}",RUE VIRGINIA WOOLF,WOOLF (RUE VIRGINIA WOOLF),TOULOUSE,31555,2,2019,1.440318,43.653376,12,
"43.59575584745842,1.4550806169005328","{coordinates: [[1.455080616900533, 43.59575584745842]], type: MultiPoint}",RUE DE TIVOLI,TIVOLI (RUE DE TIVOLI),TOULOUSE,31555,2,2010,1.455081,43.595756,12,
"43.60983818080536,1.455911743328005","{coordinates: [[1.455911743328005, 43.60983818080536]], type: MultiPoint}",BD DE MARENGO,MARENGO (BD DE MARENGO),TOULOUSE,31555,2,2020,1.455912,43.609838,7,
"43.623164363086204,1.4769419336870262","{coordinates: [[1.476941933687026, 43.623164363086204]], type: MultiPoint}",RUE DE GAILLAC,GAILLAC (RUE DE GAILLAC),TOULOUSE,31555,2,2019,1.476942,43.623164,14,
"43.597356381579736,1.4313866525203365","{coordinates: [[1.431386652520336, 43.597356381579736]], type: MultiPoint}",ALL CHARLES DE FITTE,FITTE (ALL CHARLES DE FITTE),TOULOUSE,31555,2,2009,1.431387,43.597356,52,2021-06-18+02:00
"43.63109409099148,1.432150369789009","{coordinates: [[1.432150369789009, 43.63109409099148]], type: MultiPoint}",AV DES ETATS UNIS,UNIS (AV DES ETATS UNIS),TOULOUSE,31555,5,2018,1.43215,43.631094,75,
"43.59723803575474,1.4445564504525474","{coordinates: [[1.444556450452547, 43.59723803575474]], type: MultiPoint}",PL DES CARMES,CARMES (PL DES CARMES),TOULOUSE,31555,2,2016,1.444556,43.597238,42,
"43.57989978570858,1.4497378010157573","{coordinates: [[1.449737801015757, 43.57989978570858]], type: MultiPoint}",AV DE L URSS,URSS (AV DE L URSS),TOULOUSE,31555,2,2019,1.449738,43.5799,66,
"43.573772194101785,1.4751318540904883","{coordinates: [[1.475131854090488, 43.573772194101785]], type: MultiPoint}",RUE JACQUELINE AURIOL,AURIOL (RUE JACQUELINE AURIOL),TOULOUSE,31555,2,2019,1.475132,43.573772,1,
"43.59943705009554,1.37234986681837","{coordinates: [[1.37234986681837, 43.59943705009554]], type: MultiPoint}",TURCAT (RUE ANDRE TURCAT),RUE ANDRE TURCAT,TOULOUSE,31555,2,2019,1.37235,43.599437,,
"43.57456275618839,1.4620636194477192","{coordinates: [[1.462063619447719, 43.57456275618839]], type: MultiPoint}",RUE EMILE GUYOU,GUYOU (RUE EMILE GUYOU),TOULOUSE,31555,2,2016,1.462064,43.574563,17,
"43.60186740109683,1.4521734177193655","{coordinates: [[1.452173417719365, 43.60186740109683]], type: MultiPoint}",BD LAZARE CARNOT,CARNOT (BD LAZARE CARNOT),TOULOUSE,31555,2,2016,1.452173,43.601867,12,
"43.60466967129611,1.449546620443357","{coordinates: [[1.449546620443357, 43.60466967129611]], type: MultiPoint}",BD LAZARE CARNOT,CARNOT (BD LAZARE CARNOT),TOULOUSE,31555,2,2017,1.449547,43.60467,69,
"43.61494014888639,1.4620832849500094","{coordinates: [[1.462083284950009, 43.61494014888639]], type: MultiPoint}",RUE DES REDOUTES,REDOUTES (RUE DES REDOUTES),TOULOUSE,31555,2,2011,1.462083,43.61494,4,
"43.596020820076134,1.4227085790155876","{coordinates: [[1.422708579015588, 43.596020820076134]], type: MultiPoint}",ALL MAURICE SARRAUT,SARRAUT (ALL MAURICE SARRAUT),TOULOUSE,31555,2,2017,1.422709,43.596021,2B,
"43.62077843860381,1.4355608429899174","{coordinates: [[1.435560842989917, 43.62077843860381]], type: MultiPoint}",AV DES MINIMES,MINIMES (AV DES MINIMES),TOULOUSE,31555,1,2013,1.435561,43.620778,73,
"43.60903522306571,1.4473598501684248","{coordinates: [[1.447359850168425, 43.60903522306571]], type: MultiPoint}",RUE RAYMOND IV,RAYMOND IV (RUE RAYMOND IV),TOULOUSE,31555,2,2009,1.44736,43.609035,3,
"43.61095573808554,1.437239508164268","{coordinates: [[1.437239508164268, 43.61095573808554]], type: MultiPoint}",BD LASCROSSES,LASCROSSES (BD LASCROSSES),TOULOUSE,31555,3,2010,1.43724,43.610956,13,
"43.58287434721468,1.4485983872343593","{coordinates: [[1.448598387234359, 43.58287434721468]], type: MultiPoint}",AV DE L URSS,URSS (AV DE L URSS),TOULOUSE,31555,2,2010,1.448598,43.582874,16,
"43.599451020718924,1.464363122314844","{coordinates: [[1.464363122314844, 43.599451020718924]], type: MultiPoint}",AV LOUIS BLERIOT,BLERIOT (AV LOUIS BLERIOT),TOULOUSE,31555,2,2019,1.464363,43.599451,2,
"43.58492950981775,1.4279200412542739","{coordinates: [[1.427920041254274, 43.58492950981775]], type: MultiPoint}",PL DE LA CROIX DE PIERRE,PIERRE (PL DE LA CROIX DE PIERRE),TOULOUSE,31555,2,2020,1.427801,43.584967,22,
"43.591140783864695,1.4451121661058697","{coordinates: [[1.44511216610587, 43.591140783864695]], type: MultiPoint}",GRANDE-RUE SAINT MICHEL,MICHEL (GRANDE-RUE SAINT MICHEL),TOULOUSE,31555,2,2009,1.445074,43.591246,144,
"43.612161506274205,1.4518401080729597","{coordinates: [[1.45184010807296, 43.612161506274205]], type: MultiPoint}",BD DE BONREPOS,BONREPOS (BD DE BONREPOS),TOULOUSE,31555,2,2021,0,0,17,
"43.609624102206645,1.4198677185802948","{coordinates: [[1.419867718580295, 43.609624102206645]], type: MultiPoint}",AV OCTAVE LERY,LERY (AV OCTAVE LERY),TOULOUSE,31555,2,2021,1.41993,43.6097,10,
"43.61487075740043,1.4434044020587418","{coordinates: [[1.443404402058742, 43.61487075740043]], type: MultiPoint}",BD MATABIAU,MATABIAU (BD MATABIAU),TOULOUSE,31555,2,2021,1.44339,43.6149,35,
"43.59341294382422,1.4338488121325899","{coordinates: [[1.43384881213259, 43.59341294382422]], type: MultiPoint}",ALLEES CHARLES DE FITTE,FITTE (ALL CHARLES DE FITTE),TOULOUSE,31555,2,2020,1.433954,43.593276,1,
"43.59298051515793,1.417610152566528","{coordinates: [[1.417610152566528, 43.59298051515793]], type: MultiPoint}",RUE DU ONZE NOVEMBRE 1918,NOVEMBRE 1918 (RUE DU ONZE NOVEMBRE 1918),TOULOUSE,31555,2,2011,1.41761,43.592981,6,
"43.58771260366801,1.4597665886918099","{coordinates: [[1.45976658869181, 43.58771260366801]], type: MultiPoint}",AV CRAMPEL,CRAMPEL (AV CRAMPEL),TOULOUSE,31555,2,2013,1.459796,43.587584,13,
"43.6061768763104,1.4387337521552857","{coordinates: [[1.438733752155286, 43.6061768763104]], type: MultiPoint}",PL ANATOLE FRANCE,FRANCE (PL ANATOLE FRANCE),TOULOUSE,31555,2,2016,1.438734,43.606177,42,
"43.59947590407212,1.454706728229096","{coordinates: [[1.454706728229096, 43.59947590407212]], type: MultiPoint}",PL DOMINIQUE MARTIN DUPUY,DUPUY (PL DOMINIQUE MARTIN DUPUY),TOULOUSE,31555,2,2020,1.454707,43.599476,16,
