Geo Point,Geo Shape,nom,adresse,telephone,site_internet,parking,oid,commune,accessibilite_pmr,cd,dvd,livres_audio,collections_adaptees,pret_de_jeux,pret_de_jeux_video,pret_de_partitions,pret_instruments,pret_de_liseuses,consoles_de_jeu,point_ecoute_musique,point_visionnage_video,table_de_travail,wifi,imprimante,acces_internet,boite_de_retour,portage_a_domicile,boitatroc
"43.619492045169025,1.468153140755032","{""coordinates"": [[1.468153140755032, 43.619492045169025]], ""type"": ""MultiPoint""}",Bibliothèque Roseraie,Avenue Yves Brunaud 31500 Toulouse,05 31 22 95 33,https://www.bibliotheque.toulouse.fr/bibliotheques/,non,8144,Toulouse,oui,oui,non,non,oui,non,non,non,non,non,non,non,non,oui,non,oui,oui,oui,oui,oui
"43.603424524828434,1.4464893724857613","{""coordinates"": [[1.446489372485761, 43.603424524828434]], ""type"": ""MultiPoint""}",Bibliothèque Duranti,6 Rue du Lieutenant Colonel Pélissier 31000 Toulouse,05 62 27 42 52,https://www.bibliotheque.toulouse.fr/bibliotheques/,non,8146,Toulouse,oui,oui,oui,oui,non,non,non,non,non,non,non,oui,oui,oui,oui,oui,oui,non,non,oui
"43.593759448747946,1.4664350534946238","{""coordinates"": [[1.466435053494624, 43.593759448747946]], ""type"": ""MultiPoint""}",Médiathèque Côte Pavée,125 Avenue Jean Rieux 31000 Toulouse,05 61 54 72 91,https://www.bibliotheque.toulouse.fr/bibliotheques/,non,8148,Toulouse,oui,oui,oui,oui,oui,non,non,non,non,non,non,non,non,oui,oui,oui,oui,oui,oui,non
"43.582713046063695,1.3890666570940748","{""coordinates"": [[1.389066657094075, 43.582713046063695]], ""type"": ""MultiPoint""}",Médiathèque des Pradettes,3 Avenue de la Dépêche 31100 Toulouse,05 61 22 22 16,https://www.bibliotheque.toulouse.fr/bibliotheques/,non,8149,Toulouse,oui,oui,oui,non,oui,non,non,non,non,non,non,non,non,oui,oui,oui,oui,oui,oui,non
"43.61818748951944,1.3994923060517879","{""coordinates"": [[1.399492306051788, 43.61818748951944]], ""type"": ""MultiPoint""}",Bibliothèque Ancely,2 Allée du Velay 31300 Toulouse,05 31 22 98 90,https://www.bibliotheque.toulouse.fr/bibliotheques/,non,8157,Toulouse,non,non,non,oui,oui,non,non,non,non,non,non,non,non,oui,non,oui,oui,oui,non,non
"43.61627384995412,1.4535932966187746","{""coordinates"": [[1.453593296618775, 43.61627384995412]], ""type"": ""MultiPoint""}",Bibliothèque Bonnefoy,4 Rue du Faubourg Bonnefoy 31500 Toulouse,05 81 91 79 81,https://www.bibliotheque.toulouse.fr/bibliotheques/,non,8160,Toulouse,oui,oui,non,non,non,non,non,non,non,non,non,non,non,oui,oui,oui,oui,non,non,non
"43.59889717273161,1.4305494068416125","{""coordinates"": [[1.430549406841612, 43.59889717273161]], ""type"": ""MultiPoint""}",Médiathèque Saint-Cyprien,63 Rue Reclusane 31300 Toulouse,05 62 27 63 30,https://www.bibliotheque.toulouse.fr/bibliotheques/,non,8147,Toulouse,oui,oui,oui,oui,oui,non,non,non,oui,non,non,oui,oui,oui,oui,oui,oui,oui,oui,non
"43.58015353098255,1.412027624759927","{""coordinates"": [[1.412027624759927, 43.58015353098255]], ""type"": ""MultiPoint""}",Médiathèque Saint-Exupéry,37 Rue du Lot 31100 Toulouse,05 36 25 20 01,https://www.bibliotheque.toulouse.fr/bibliotheques/,non,8152,Toulouse,oui,non,oui,oui,oui,non,non,non,non,non,non,non,non,oui,oui,oui,oui,non,oui,non
"43.58564128519595,1.4659958327082687","{""coordinates"": [[1.465995832708269, 43.58564128519595]], ""type"": ""MultiPoint""}",Bibliothèque Pont des Demoiselles,63 B Avenue Antoine de Saint Exupéry 31400 Toulouse,05 31 22 95 70,https://www.bibliotheque.toulouse.fr/bibliotheques/,non,8141,Toulouse,oui,non,non,non,oui,non,non,non,non,non,non,non,non,non,non,non,non,oui,non,non
"43.60833372042473,1.4777628182459142","{""coordinates"": [[1.477762818245914, 43.60833372042473]], ""type"": ""MultiPoint""}",Médiathèque Serveyrolles,10 Rue Charles Garnier 31500 Toulouse,05 31 22 96 50,https://www.bibliotheque.toulouse.fr/bibliotheques/,non,8143,Toulouse,oui,oui,oui,non,oui,non,non,non,non,non,oui,oui,oui,oui,non,oui,oui,oui,oui,oui
"43.610256704404385,1.4555220236274444","{""coordinates"": [[1.455522023627444, 43.610256704404385]], ""type"": ""MultiPoint""}",Médiathèque José Cabanis,1 Allée Jacques Chaban-Delmas 31500 Toulouse,05 62 27 40 00,https://www.bibliotheque.toulouse.fr/bibliotheques/,oui,8145,Toulouse,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,oui,oui,oui,non,oui
"43.59706449746101,1.4432612907275393","{""coordinates"": [[1.443261290727539, 43.59706449746101]], ""type"": ""MultiPoint""}",Médiathèque Fabre,6 Rue Saint Jean 31000 Toulouse,05 81 91 77 01,https://www.bibliotheque.toulouse.fr/bibliotheques/,non,8150,Toulouse,oui,oui,oui,oui,non,non,non,non,non,non,non,non,non,oui,oui,oui,oui,oui,oui,non
"43.567299717013235,1.4006737939657505","{""coordinates"": [[1.400673793965751, 43.567299717013235]], ""type"": ""MultiPoint""}",Médiathèque Grand M,27 Avenue de Reynerie 31100 Toulouse,05 81 91 79 40,https://www.bibliotheque.toulouse.fr/bibliotheques/,non,8151,Toulouse,oui,oui,oui,oui,non,non,non,non,non,non,non,non,non,oui,oui,oui,oui,oui,oui,non
"43.57513809059657,1.4636963831091112","{""coordinates"": [[1.463696383109111, 43.57513809059657]], ""type"": ""MultiPoint""}",Médiathèque Rangueil,19 Rue Claude de Forbin 31400 Toulouse,05 61 22 24 50,https://www.bibliotheque.toulouse.fr/bibliotheques/,non,8154,Toulouse,oui,oui,oui,oui,oui,non,non,non,non,non,non,non,non,oui,oui,oui,oui,oui,non,non
"43.638371208947206,1.4436632128379334","{""coordinates"": [[1.443663212837933, 43.638371208947206]], ""type"": ""MultiPoint""}",Médiathèque des Izards,Place Micoulaud 31200 Toulouse,05 31 22 94 70,https://www.bibliotheque.toulouse.fr/bibliotheques/,non,8155,Toulouse,oui,non,oui,non,oui,non,non,non,non,non,non,non,non,oui,oui,oui,oui,oui,non,non
"43.60243652360833,1.4675438431408145","{""coordinates"": [[1.467543843140815, 43.60243652360833]], ""type"": ""MultiPoint""}",Bibliothèque Pinel,7 Place Marius Pinel 31500 Toulouse,05 61 54 28 93,https://www.bibliotheque.toulouse.fr/bibliotheques/,non,8159,Toulouse,oui,oui,non,oui,oui,non,non,non,non,non,non,non,non,oui,non,non,non,oui,non,non
"43.63586029024342,1.4642259198005751","{""coordinates"": [[1.464225919800575, 43.63586029024342]], ""type"": ""MultiPoint""}",Médiathèque Danièle Damin,122 Route d'Albi 31200 Toulouse,05 34 24 50 42,https://www.bibliotheque.toulouse.fr/bibliotheques/,oui,8142,Toulouse,oui,non,oui,oui,oui,non,non,non,non,non,non,oui,non,oui,oui,oui,oui,oui,oui,oui
"43.62044883706794,1.4346708737809641","{""coordinates"": [[1.434670873780964, 43.62044883706794]], ""type"": ""MultiPoint""}",Médiathèque des Minimes,2 Place du Marché Aux Cochons 31200 Toulouse,05 81 91 78 88,https://www.bibliotheque.toulouse.fr/bibliotheques/,non,8153,Toulouse,oui,non,oui,oui,oui,non,non,non,non,non,non,non,oui,oui,oui,oui,oui,oui,non,non
"43.607495003022585,1.443964492866969","{""coordinates"": [[1.443964492866969, 43.607495003022585]], ""type"": ""MultiPoint""}",Bibliothèque d'étude et du patrimoine,1 Rue de Périgord 31000 Toulouse,05 62 27 66 66,https://www.bibliotheque.toulouse.fr/bibliotheques/,oui,8156,Toulouse,oui,non,non,non,non,non,non,non,non,non,non,non,non,oui,oui,oui,oui,oui,non,non
"43.57891079507227,1.4416733306599026","{""coordinates"": [[1.441673330659903, 43.57891079507227]], ""type"": ""MultiPoint""}",Médiathèque Empalot,40 Avenue Jean Moulin 31400 Toulouse,05 36 25 20 80,https://www.bibliotheque.toulouse.fr/bibliotheques/,non,8158,Toulouse,oui,oui,oui,oui,oui,oui,oui,non,oui,non,oui,oui,non,oui,oui,non,oui,oui,non,non
