Geo Point,Geo Shape,rue,motdir,id_seg_ges,commune,code_insee,codsti,nrivoli,pole,longueur,id_seg_obs,type,arrete,sensunique,doublesens_cyclable
"43.60192079252123,1.4427279548965233","{""coordinates"": [[[1.442760611389592, 43.60185597817809], [1.442718070238414, 43.60191429847913], [1.442716909221257, 43.601992828417025]]], ""type"": ""MultiLineString""}",VA VA008105,(VA VA008105),8105,TOULOUSE,31555,31555A008105,31055,Centre,16,8105,Aire Pietonne,11/097,oui,oui
"43.60187960617259,1.4445562658524511","{""coordinates"": [[[1.444277386610211, 43.60185375260575], [1.444835145094691, 43.60190545973943]]], ""type"": ""MultiLineString""}",RUE DU PUITS VERT,VERT (RUE DU PUITS VERT),4655,TOULOUSE,31555,3.15556E+11,3105557188,Centre,45,4655,Aire Pietonne,11/100,oui,oui
"43.60296459000701,1.4444761367545826","{""coordinates"": [[[1.444127990944349, 43.60296522499646], [1.444306497126928, 43.60295622159397], [1.444506875620206, 43.60296442767034], [1.444824398051255, 43.602974488596985]]], ""type"": ""MultiLineString""}",RUE BAOUR LORMIAN,LORMIAN (RUE BAOUR LORMIAN),4643,TOULOUSE,31555,3.15551E+11,3105550816,Centre,56,4643,Aire Pietonne,11/105,,
"43.599446525452294,1.4433203772209773","{""coordinates"": [[[1.442724713368246, 43.599296365768915], [1.442994736188216, 43.59934769803536], [1.443911136997098, 43.59961700249163]]], ""type"": ""MultiLineString""}",RUE DU COQ D INDE,INDE (RUE DU COQ D INDE),4809,TOULOUSE,31555,3.15552E+11,3105552280,Centre,102,4809,Aire Pietonne,11/093,oui,oui
"43.60015114749297,1.4437977088445741","{""coordinates"": [[[1.443811397323016, 43.59993222779255], [1.443784020366132, 43.600370067193396]]], ""type"": ""MultiLineString""}",RUE DES CHANGES,CHANGES (RUE DES CHANGES),4831,TOULOUSE,31555,3.15552E+11,3105551876,Centre,49,4831,Aire Pietonne,11/028,oui,oui
"43.6011130711182,1.4436944948356503","{""coordinates"": [[[1.443738686272828, 43.60070274223896], [1.443688761084727, 43.60125677744923], [1.443621045819543, 43.60151832945916]]], ""type"": ""MultiLineString""}",RUE DES CHANGES,CHANGES (RUE DES CHANGES),4652,TOULOUSE,31555,3.15552E+11,3105551876,Centre,91,4652,Aire Pietonne,11/028,oui,oui
"43.59998924152954,1.4431862059580494","{""coordinates"": [[[1.442583700780465, 43.60010703738876], [1.442692944378136, 43.600027470011675], [1.443811397323016, 43.59993222779255]]], ""type"": ""MultiLineString""}",RUE DES MARCHANDS,MARCHANDS (RUE DES MARCHANDS),4829,TOULOUSE,31555,3.15554E+11,3105555628,Centre,103,4829,Aire Pietonne,11/027,oui,oui
"43.60458198335424,1.4456747196269275","{""coordinates"": [[[1.445670955530473, 43.60426689119928], [1.445678483723382, 43.6048970755092]]], ""type"": ""MultiLineString""}",RUE D ALSACE LORRAINE,LORRAINE (RUE D ALSACE LORRAINE),4626,TOULOUSE,31555,3.1555E+11,3105550224,Centre,70,4626,Aire Pietonne,13/107,oui,oui
"43.60214929317112,1.4445685393133492","{""coordinates"": [[[1.444565311385758, 43.60219089462599], [1.444571767240941, 43.60210769171624]]], ""type"": ""MultiLineString""}",PL DES PUITS CLOS,CLOS (PL DES PUITS CLOS),8106,TOULOUSE,31555,3.15556E+11,3105557176,Centre,9,8106,Aire Pietonne,11/103,,
"43.60299402272013,1.44538918681432","{""coordinates"": [[[1.445110698213905, 43.60298520894629], [1.445667675414735, 43.60300283649397]]], ""type"": ""MultiLineString""}",RUE BAOUR LORMIAN,LORMIAN (RUE BAOUR LORMIAN),4684,TOULOUSE,31555,3.15551E+11,3105550816,Centre,45,4684,Aire Pietonne,11/105,oui,oui
"43.59859053320829,1.4441614603592963","{""coordinates"": [[[1.444170665546924, 43.598453411536305], [1.444152255171669, 43.59872765488027]]], ""type"": ""MultiLineString""}",RUE DES FILATIERS,FILATIERS (RUE DES FILATIERS),4826,TOULOUSE,31555,3.15553E+11,3105553300,Centre,31,4826,Aire Pietonne,11/114,oui,oui
"43.60146228984274,1.4445529913714934","{""coordinates"": [[[1.444090271963129, 43.601482290469086], [1.444354891818719, 43.601460717576764], [1.445016333316089, 43.601456465253186]]], ""type"": ""MultiLineString""}",RUE PEYRAS,PEYRAS (RUE PEYRAS),4657,TOULOUSE,31555,3.15555E+11,3105556804,Centre,75,4657,Aire Pietonne,11/168,oui,oui
"43.60150030996412,1.4438556588913363","{""coordinates"": [[[1.443621045819543, 43.60151832945916], [1.444090271963129, 43.601482290469086]]], ""type"": ""MultiLineString""}",RUE PEYRAS,PEYRAS (RUE PEYRAS),4653,TOULOUSE,31555,3.15555E+11,3105556804,Centre,38,4653,Aire Pietonne,11/168,oui,oui
"43.60488257061793,1.4432687913323958","{""coordinates"": [[[1.44282683057064, 43.60482918650146], [1.443584549551256, 43.60491842283172], [1.443707750343377, 43.604951562797204]]], ""type"": ""MultiLineString""}",PL DU CAPITOLE,CAPITOLE (PL DU CAPITOLE),4897,TOULOUSE,31555,3.15551E+11,3105551676,Centre,72,4897,Aire Pietonne,13/106,oui,oui
"43.60227139436885,1.446619227363575","{""coordinates"": [[[1.446908635921552, 43.60202767401583], [1.446329818805597, 43.60251511472187]]], ""type"": ""MultiLineString""}",RUE DE LA POMME,POMME (RUE DE LA POMME),4675,TOULOUSE,31555,3.15555E+11,3105556988,Centre,71,4675,Aire Pietonne,13/108,oui,oui
"43.606800355133764,1.4460164049061468","{""coordinates"": [[[1.4456995472913, 43.60697778148089], [1.446210369899178, 43.60668755358858], [1.446341270678612, 43.60664032227308]]], ""type"": ""MultiLineString""}",RUE DU SALE,SALE (RUE DU SALE),3321,TOULOUSE,31555,3.15556E+11,3105558096,Centre,64,3321,Aire Pietonne,13/110,oui,oui
"43.602007666670616,1.4444361991605759","{""coordinates"": [[[1.444277425137114, 43.601853699110144], [1.444357441682377, 43.60189974279857], [1.444453431838743, 43.60201119645209], [1.444565311385758, 43.60219089462599]]], ""type"": ""MultiLineString""}",RUE DES PUITS CLOS,CLOS (RUE DES PUITS CLOS),4648,TOULOUSE,31555,3.15556E+11,3105557180,Centre,45,4648,Aire Pietonne,11/104,,
"43.61069223159604,1.4399526509964438","{""coordinates"": [[[1.439847358303442, 43.61041618022546], [1.439943203209395, 43.61062319505185], [1.43996472048619, 43.61066404994313], [1.439997355363484, 43.61083271697254], [1.440017280336742, 43.610980471095466]]], ""type"": ""MultiLineString""}",RUE DE LA VERGE D OR,OR (RUE DE LA VERGE D OR),3231,TOULOUSE,31555,3.15557E+11,3105558796,Centre,65,3231,Aire Pietonne,17/196,oui,oui
"43.6099116379111,1.4391576408684235","{""coordinates"": [[[1.439156066775646, 43.60979950601717], [1.439159214961201, 43.61002376980502]]], ""type"": ""MultiLineString""}",RUE ARNAUD BERNARD,BERNARD (RUE ARNAUD BERNARD),3240,TOULOUSE,31555,3.1555E+11,3105550524,Centre,25,3240,Aire Pietonne,17/196,oui,oui
"43.610188192951405,1.440388544586314","{""coordinates"": [[[1.440328290761696, 43.61021184392577], [1.440448798410932, 43.61016454197704]]], ""type"": ""MultiLineString""}",RUE DES TROIS PILIERS,PILIERS (RUE DES TROIS PILIERS),3271,TOULOUSE,31555,3.15557E+11,3105558612,Centre,11,3271,Aire Pietonne,17/196,oui,oui
"43.609318256832445,1.439137914317047","{""coordinates"": [[[1.439148546187432, 43.60917405683143], [1.439127282446662, 43.60946245683346]]], ""type"": ""MultiLineString""}",RUE DE LA CHAINE,CHAINE (RUE DE LA CHAINE),7143,TOULOUSE,31555,3.15552E+11,3105551844,Centre,32,7143,Aire Pietonne,17/196,oui,oui
"43.61043690484574,1.4397760777133648","{""coordinates"": [[[1.439704797123288, 43.61045762946603], [1.439847358303442, 43.61041618022546]]], ""type"": ""MultiLineString""}",RUE DES TROIS PILIERS,PILIERS (RUE DES TROIS PILIERS),5309,TOULOUSE,31555,3.15557E+11,3105558612,Centre,12,5309,Aire Pietonne,17/196,oui,oui
"43.608803782018384,1.442804338284488","{""coordinates"": [[[1.442661055555327, 43.608943598590365], [1.442696262607999, 43.60890148282337], [1.442784429332158, 43.60881729234265], [1.442885433861222, 43.60872085149167], [1.442965767787361, 43.60869017328541]]], ""type"": ""MultiLineString""}",PL SAINT SERNIN,SERNIN (PL SAINT SERNIN),3251,TOULOUSE,31555,3.15556E+11,3105557984,Centre,38,3251,Aire Pietonne,19/091,oui,oui
"43.60768199055472,1.4415982234851548","{""coordinates"": [[[1.441932288997836, 43.60783426000082], [1.441481565698955, 43.607629376529445], [1.441264811595608, 43.60752830150297]]], ""type"": ""MultiLineString""}",PL SAINT SERNIN,SERNIN (PL SAINT SERNIN),3248,TOULOUSE,31555,3.15556E+11,3105557984,Centre,64,3248,Aire Pietonne,19/090,oui,oui
"43.60672684628694,1.4468770711315717","{""coordinates"": [[[1.446970738803668, 43.60633872226079], [1.446783403459475, 43.60711497031309]]], ""type"": ""MultiLineString""}",PL VICTOR HUGO,HUGO (PL VICTOR HUGO),3327,TOULOUSE,31555,3.15553E+11,3105558840,Centre,88,3327,Aire Pietonne,18/206,oui,oui
"43.602371177025105,1.4435431775300693","{""coordinates"": [[[1.443536197049793, 43.602315299933466], [1.443550158010346, 43.60242705411675]]], ""type"": ""MultiLineString""}",RUE SAINT ROME,ROME (RUE SAINT ROME),4638,TOULOUSE,31555,3.15556E+11,3105557972,Centre,12,4638,Aire Pietonne,11/096,oui,oui
"43.603406256233576,1.4496336892293291","{""coordinates"": [[[1.448818464284088, 43.60343447684091], [1.449862704357454, 43.60343035451971], [1.450200138065649, 43.603415019987395], [1.450242284756391, 43.603382240396584], [1.450235312210948, 43.60315039068466]]], ""type"": ""MultiLineString""}",PL OCCITANE,OCCITANE (PL OCCITANE),5585,TOULOUSE,31555,3.15558E+11,3105556350,Centre,142,5585,Aire Pietonne,11/109,,
"43.603056614776754,1.4489302231765686","{""coordinates"": [[[1.449280502878954, 43.602919620673525], [1.448824791678591, 43.602920771048886], [1.448818464284088, 43.60343447684091]]], ""type"": ""MultiLineString""}",PL OCCITANE,OCCITANE (PL OCCITANE),8744,TOULOUSE,31555,3.15558E+11,3105556350,Centre,94,8744,Aire Pietonne,11/109,,
"43.603125163199245,1.4496705794934917","{""coordinates"": [[[1.450235312210948, 43.60315039068466], [1.449609132962198, 43.60314642280565], [1.449288877659131, 43.603143918353304], [1.449280502878954, 43.602919620673525]]], ""type"": ""MultiLineString""}",PL OCCITANE,OCCITANE (PL OCCITANE),8743,TOULOUSE,31555,3.15558E+11,3105556350,Centre,101,8743,Aire Pietonne,11/109,,
"43.6020626679208,1.4485595895504737","{""coordinates"": [[[1.448131357455081, 43.60192333887468], [1.448987821645866, 43.60220199696692]]], ""type"": ""MultiLineString""}",RUE ALEXANDRE FOURTANIER,FOURTANIER (RUE ALEXANDRE FOURTANIER),4751,TOULOUSE,31555,3.15553E+11,3105550156,Centre,76,4751,Aire Pietonne,11/110,,
"43.60170436035406,1.4425136902384343","{""coordinates"": [[[1.442261176304894, 43.601561569175146], [1.442662708021336, 43.60178614220574], [1.442760611389592, 43.60185597817809]]], ""type"": ""MultiLineString""}",RUE TRIPIERE,TRIPIERE (RUE TRIPIERE),4612,TOULOUSE,31555,3.15557E+11,3105558584,Centre,52,4612,Aire Pietonne,11/097,oui,oui
"43.60198892994867,1.4424031990292638","{""coordinates"": [[[1.442217319305318, 43.60196901010498], [1.44258907875321, 43.602008849792355]]], ""type"": ""MultiLineString""}",RUE DU MAY,MAY (RUE DU MAY),4610,TOULOUSE,31555,3.15555E+11,3105555836,Centre,30,4610,Aire Pietonne,11/099,oui,oui
"43.6017562010805,1.4431575758277704","{""coordinates"": [[[1.442760611389592, 43.60185597817809], [1.44293864304457, 43.60179115590822], [1.44335910280206, 43.60170743460965], [1.443563485543374, 43.60170904356473]]], ""type"": ""MultiLineString""}",RUE TRIPIERE,TRIPIERE (RUE TRIPIERE),5114,TOULOUSE,31555,3.15557E+11,3105558584,Centre,68,5114,Aire Pietonne,11/097,,
"43.6021925807698,1.4430539577019303","{""coordinates"": [[[1.44258907875321, 43.602008849792355], [1.442752066937399, 43.60207825733198], [1.443032586600558, 43.60221198524752], [1.443411322558361, 43.60230768582902], [1.443536197049793, 43.602315299933466]]], ""type"": ""MultiLineString""}",RUE DU MAY,MAY (RUE DU MAY),5111,TOULOUSE,31555,3.15555E+11,3105555836,Centre,85,5111,Aire Pietonne,11/099,,
"43.606874342079806,1.4423001618175584","{""coordinates"": [[[1.442351684235406, 43.606737557057016], [1.44224863939971, 43.607011127102595]]], ""type"": ""MultiLineString""}",RUE DU TAUR,TAUR (RUE DU TAUR),3260,TOULOUSE,31555,3.15557E+11,3105558408,Centre,32,3260,Aire Pietonne,13/114,oui,oui
"43.6057274619871,1.4426376219750052","{""coordinates"": [[[1.442656070515641, 43.605625421369275], [1.442619173434369, 43.60582950260493]]], ""type"": ""MultiLineString""}",RUE DU TAUR,TAUR (RUE DU TAUR),4619,TOULOUSE,31555,3.15557E+11,3105558408,Centre,23,4619,Aire Pietonne,13/114,oui,oui
"43.600959532359916,1.4456499665485174","{""coordinates"": [[[1.445654565081205, 43.60047657278167], [1.445645368015829, 43.60144249193816]]], ""type"": ""MultiLineString""}",RUE D ALSACE LORRAINE,LORRAINE (RUE D ALSACE LORRAINE),4664,TOULOUSE,31555,3.1555E+11,3105550224,Centre,107,4664,Aire Pietonne,13/107,oui,oui
"43.603994440317166,1.4456750190309506","{""coordinates"": [[[1.445679082531429, 43.60372198943506], [1.445670955530473, 43.60426689119928]]], ""type"": ""MultiLineString""}",RUE D ALSACE LORRAINE,LORRAINE (RUE D ALSACE LORRAINE),4690,TOULOUSE,31555,3.1555E+11,3105550224,Centre,61,4690,Aire Pietonne,13/107,oui,oui
"43.605857294319506,1.443448767904127","{""coordinates"": [[[1.442619173434369, 43.60582950260493], [1.443000214477609, 43.605859004915374], [1.443658581940557, 43.60588973743805], [1.444275697430528, 43.605804717052365]]], ""type"": ""MultiLineString""}",RUE DU SENECHAL,SENECHAL (RUE DU SENECHAL),3310,TOULOUSE,31555,3.15557E+11,3105558216,Centre,135,3310,Aire Pietonne,11/116,oui,oui
"43.59917235551707,1.4440316830130482","{""coordinates"": [[[1.444152255171669, 43.59872765488027], [1.443911110854428, 43.599617056153875]]], ""type"": ""MultiLineString""}",RUE DES FILATIERS,FILATIERS (RUE DES FILATIERS),4828,TOULOUSE,31555,3.15553E+11,3105553300,Centre,101,4828,Aire Pietonne,11/114,oui,oui
"43.66311340500529,1.3926034818760196","{""coordinates"": [[[1.391779815040784, 43.66227305314492], [1.391723936587236, 43.66246734646521], [1.392616470803523, 43.662904943679465], [1.393017264974536, 43.66308276896339], [1.392861936053367, 43.66350580614542], [1.392970124463581, 43.66373189704393], [1.39331731626987, 43.664115434330604]]], ""type"": ""MultiLineString""}",CHE DU TIERS ETAT,TIERS-ETAT (CHE DU TIERS ETAT),24476,BEAUZELLE,31056,3.1056E+11,31005,Ouest,273,2447,Aire Pietonne,,oui,oui
"43.65597988610855,1.3944140010856567","{""coordinates"": [[[1.393570536400713, 43.65551726663931], [1.393881724972212, 43.65569612339695], [1.395261742087326, 43.656434798335745]]], ""type"": ""MultiLineString""}",CHE DU MOULIN DE NAUDIN,NAUDIN (CHE DU MOULIN DE NAUDIN),33112,BLAGNAC,31069,3.1069E+11,3100690711,Ouest,170,3311,Aire Pietonne,,oui,oui
"43.65695528231947,1.3960802298475634","{""coordinates"": [[[1.395261742087326, 43.656434798335745], [1.395777809061426, 43.6567636065201], [1.396488806526806, 43.65721041521073], [1.396893693482743, 43.657483420501286]]], ""type"": ""MultiLineString""}",CHE DU MOULIN DE NAUDIN,NAUDIN (CHE DU MOULIN DE NAUDIN),12265,BLAGNAC,31069,3.1069E+11,3100690711,Ouest,176,1226,Aire Pietonne,,,
"43.604824533158684,1.442776776053753","{""coordinates"": [[[1.442726721536866, 43.6048198798159], [1.44282683057064, 43.60482918650146]]], ""type"": ""MultiLineString""}",PL DU CAPITOLE,CAPITOLE (PL DU CAPITOLE),4874,TOULOUSE,31555,3.15551E+11,3105551676,Centre,8,4874,Aire Pietonne,13/106,,
"43.60342717178999,1.4451262350192489","{""coordinates"": [[[1.445455334071706, 43.603272707165075], [1.444797135966791, 43.603581636414894]]], ""type"": ""MultiLineString""}",RUE DE LA POMME,POMME (RUE DE LA POMME),4689,TOULOUSE,31555,3.15555E+11,3105556988,Centre,63,4689,Aire Pietonne,13/108,oui,oui
"43.6049243191532,1.4446931170333799","{""coordinates"": [[[1.443707750343377, 43.604951562797204], [1.445678483723382, 43.6048970755092]]], ""type"": ""MultiLineString""}",RUE LAFAYETTE,LAFAYETTE (RUE LAFAYETTE),4622,TOULOUSE,31555,3.15554E+11,3105554920,Centre,159,4622,Aire Pietonne,13/109,oui,oui
"43.60594926394377,1.445690144835556","{""coordinates"": [[[1.445692920672886, 43.605762898817844], [1.445687368998226, 43.60613562906969]]], ""type"": ""MultiLineString""}",RUE D ALSACE LORRAINE,LORRAINE (RUE D ALSACE LORRAINE),3313,TOULOUSE,31555,3.1555E+11,3105550224,Centre,41,3313,Aire Pietonne,13/107,oui,oui
"43.60734908517036,1.4456933628275868","{""coordinates"": [[[1.4456995472913, 43.60697778148089], [1.445687178363874, 43.60772038885984]]], ""type"": ""MultiLineString""}",RUE D ALSACE LORRAINE,LORRAINE (RUE D ALSACE LORRAINE),3315,TOULOUSE,31555,3.1555E+11,3105550224,Centre,83,3315,Aire Pietonne,13/107,oui,oui
"43.60346634044663,1.4464972708355228","{""coordinates"": [[[1.445677459535496, 43.60348165894693], [1.44731708213555, 43.60345102194633]]], ""type"": ""MultiLineString""}",RUE LT COLONEL PELISSIER,PELISSIER (RUE LT COLONEL PELISSIER),4700,TOULOUSE,31555,3.15554E+11,3105555246,Centre,132,4700,Aire Pietonne,13/113,oui,oui
"43.598197571316284,1.444206429327453","{""coordinates"": [[[1.444264160588892, 43.59794608124844], [1.444202422955084, 43.59815753508645], [1.444170665546924, 43.598453411536305]]], ""type"": ""MultiLineString""}",RUE DES FILATIERS,FILATIERS (RUE DES FILATIERS),4817,TOULOUSE,31555,3.15553E+11,3105553300,Centre,57,4817,Aire Pietonne,11/114,oui,oui
"43.592205821418105,1.4176697378796292","{""coordinates"": [[[1.417857418462988, 43.59151598061458], [1.417617545924491, 43.592555719292974], [1.417340212183764, 43.592813658652844]]], ""type"": ""MultiLineString""}",RUE DU ONZE NOVEMBRE 1918,NOVEMBRE 1918 (RUE DU ONZE NOVEMBRE 1918),7220,TOULOUSE,31555,3.15558E+11,3105556383,Centre,154,7220,Aire Pietonne,13/185,oui,oui
"43.592572381437584,1.4440358132427042","{""coordinates"": [[[1.443547676620636, 43.592402753803185], [1.444523949864772, 43.59274200907198]]], ""type"": ""MultiLineString""}",ALL PAUL FEUGA,FEUGA (ALL PAUL FEUGA),4893,TOULOUSE,31555,3.15553E+11,3105556620,Centre,87,4893,Aire Pietonne,13/227,oui,oui
"43.602870641386914,1.4449796028482904","{""coordinates"": [[[1.444848507482676, 43.60275607382753], [1.445110698213905, 43.60298520894629]]], ""type"": ""MultiLineString""}",PL ROGER SALENGRO,SALENGRO (PL ROGER SALENGRO),4970,TOULOUSE,31555,3.15556E+11,3105557572,Centre,33,4970,Aire Pietonne,15/073,,
"43.64239578671436,1.4441652886188583","{""coordinates"": [[[1.444476432548712, 43.64198152842448], [1.444046231963171, 43.64199990411983], [1.444039660214596, 43.642439799404364], [1.444070817948178, 43.64279578831436], [1.444500716422705, 43.64279823053199]]], ""type"": ""MultiLineString""}",RUE DES CERISIERS,CERISIERS (RUE DES CERISIERS),1070,TOULOUSE,31555,3.15552E+11,3105551828,Nord,158,1070,Aire Pietonne,16/111,,
"43.60836384287325,1.439584839378517","{""coordinates"": [[[1.439958468840623, 43.60752379597731], [1.43979619845604, 43.60792555925845], [1.439692604039464, 43.6082331845442], [1.439148546187432, 43.60917405683143]]], ""type"": ""MultiLineString""}",RUE DE LA CHAINE,CHAINE (RUE DE LA CHAINE),3268,TOULOUSE,31555,3.15552E+11,3105551844,Centre,195,3268,Aire Pietonne,17/196,oui,oui
"43.610351294908924,1.441691471480849","{""coordinates"": [[[1.441631328659911, 43.61006319724235], [1.441751614301788, 43.6106393925755]]], ""type"": ""MultiLineString""}",RUE JEAN RANCY,RANCY (RUE JEAN RANCY),3226,TOULOUSE,31555,3.15556E+11,3105554644,Centre,65,3226,Aire Pietonne,17/196,oui,oui
"43.609462591854445,1.4426862127369202","{""coordinates"": [[[1.442661055555327, 43.608943598590365], [1.442814186636995, 43.60924372871455], [1.442549403148333, 43.609883108479], [1.4425737692457, 43.60999493964001]]], ""type"": ""MultiLineString""}",RUE MERLY,MERLY (RUE MERLY),3242,TOULOUSE,31555,3.15555E+11,3105555896,Centre,122,3242,Aire Pietonne,17/196,oui,oui
"43.61031401207561,1.440087824532569","{""coordinates"": [[[1.439847358303442, 43.61041618022546], [1.440328290761696, 43.61021184392577]]], ""type"": ""MultiLineString""}",RUE DES TROIS PILIERS,PILIERS (RUE DES TROIS PILIERS),3230,TOULOUSE,31555,3.15557E+11,3105558612,Centre,45,3230,Aire Pietonne,17/196,oui,oui
"43.61080012915775,1.4417980295594706","{""coordinates"": [[[1.441844444817153, 43.61096086574001], [1.441751614301788, 43.6106393925755]]], ""type"": ""MultiLineString""}",RUE JEAN RANCY,RANCY (RUE JEAN RANCY),5440,TOULOUSE,31555,3.15556E+11,3105554644,Centre,37,5440,Aire Pietonne,17/196,oui,oui
